group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_throughput,seq_len,32,32,elements,84787075.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,60824169.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,64722038.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,72146598.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,65838157.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,68333659.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,77876257.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,68894095.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,86569095.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,82068423.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,83351241.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,76892704.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,84361863.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,66066199.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,75630138.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,82672183.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,56196944.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,64902644.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,61292376.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,63904617.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,63589598.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,68208163.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,78325058.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,77870859.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,80347527.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,72653760.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,69412324.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,75121306.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,74477608.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,68976161.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,79964773.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,72014350.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,65852348.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,56168886.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,72159331.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,75172447.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,62969917.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,52667103.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,57609433.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,71243883.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,72502531.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,54668763.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,57889103.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,59442848.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,50726203.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,75074629.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,79336221.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,68741639.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,71026216.0,ns,2
attention/prefill_throughput,seq_len,32,32,elements,85156263.0,ns,2
