group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,0,1,elements,36154372.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35846511.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,46346802.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35754583.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,41851097.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,41689321.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39698802.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39138527.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36775651.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35675754.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36372733.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,43890233.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,42211122.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,42533619.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,41156268.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,41052221.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39732920.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36466109.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36935876.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,43122102.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,34926026.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,38932911.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35615092.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39638080.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,38740843.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40741987.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40077010.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35933724.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40685175.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36378471.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40929507.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,35573353.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40456883.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,41365865.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39237656.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36642328.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,44210920.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40620157.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40034914.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,43035485.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,42878554.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,39160614.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,40351171.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,37892633.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,34658616.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,42336687.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,33966400.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,42036722.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,34322794.0,ns,6
attention/decode_throughput,kv_cache_len,0,1,elements,36067582.0,ns,6
