group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,64,1,elements,42457847.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,49966209.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,33105356.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,35662351.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,51321336.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,109754367.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,67603694.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,58405697.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,36738448.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,35408557.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,34731453.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,32761746.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,33307441.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,35025639.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,37069903.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,34254971.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,36748753.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,33505869.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,32974816.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,32980591.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,37404710.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,44372778.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,41337587.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39792116.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39452963.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,37192914.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,38945556.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39002279.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,38620122.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,36973487.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,35932886.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39563704.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39227078.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39169268.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39811636.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,40363494.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,34390360.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,36772988.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,33040630.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,38162376.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,41042895.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,38223126.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,42402372.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,49287426.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,33975478.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,39798777.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,37725475.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,48101416.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,48485343.0,ns,5
attention/decode_throughput,kv_cache_len,64,1,elements,36856078.0,ns,5
