group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,1024,1,elements,50410110.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,49344767.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,49010705.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44351999.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,51747325.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44463759.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,52400946.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48070709.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44360455.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,53412980.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44093491.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,45943585.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48387004.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44640895.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,46403658.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,46091791.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,45096032.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,54406187.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43896836.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,49592420.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,50621927.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43704071.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43606123.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44599738.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48233114.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44807806.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48620121.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,51389389.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,47902528.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43568202.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,49561113.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,55443477.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,47340570.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43543791.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48867121.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,42191277.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,46861630.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,46013606.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,55657837.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43796287.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48494003.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,56416843.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43949344.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,44861758.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,48050504.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,46081082.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,45866791.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43497152.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,52786753.0,ns,3
attention/decode_throughput,kv_cache_len,1024,1,elements,43242565.0,ns,3
